# Captured cache-invalidation notification payloads
2026-08-09T10:39:53.5865472+00:00 connection=capture-1 sequence=unknown fields=Reason contract=ignored payload={"Type":"CacheInvalidation","Value":{"Reason":"Document:Put"}}
2026-08-09T10:39:53.5828130+00:00 connection=capture-2 sequence=unknown fields=<empty> contract=ignored payload={"Type":"CacheInvalidation","Value":{}}
2026-08-09T10:39:53.5809845+00:00 connection=capture-4 sequence=unknown fields=<empty> contract=ignored payload={"Type":"CacheInvalidation","Value":{}}
2026-08-09T10:39:53.5850959+00:00 connection=capture-3 sequence=1 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":1}}
2026-08-09T10:39:53.7741841+00:00 connection=capture-4 sequence=2 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":2}}
2026-08-09T10:39:53.7713779+00:00 connection=capture-2 sequence=2 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":2}}
2026-08-09T10:39:53.7729468+00:00 connection=capture-3 sequence=2 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":2,"Reason":"Document:Put"}}
2026-08-09T10:39:53.7996007+00:00 connection=capture-1 sequence=2 fields=Generation|Reason|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":2,"Reason":"Document:Put","Reason":"Document:Put"}}
2026-08-09T10:39:56.8925764+00:00 connection=capture-1 sequence=3 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":3,"Reason":"Document:Put"}}
2026-08-09T10:39:56.8945696+00:00 connection=capture-4 sequence=3 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":3,"Reason":"Document:Put"}}
2026-08-09T10:39:56.8972857+00:00 connection=capture-2 sequence=3 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":3,"Reason":"Document:Put"}}
2026-08-09T10:39:56.8962817+00:00 connection=capture-3 sequence=3 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":3,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9156406+00:00 connection=capture-1 sequence=4 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":4,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9187614+00:00 connection=capture-4 sequence=4 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":4,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9226684+00:00 connection=capture-2 sequence=4 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":4,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9240327+00:00 connection=capture-3 sequence=4 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":4,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9281237+00:00 connection=capture-2 sequence=5 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":5,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9335940+00:00 connection=capture-3 sequence=5 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":5,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9346574+00:00 connection=capture-1 sequence=5 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":5,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9450775+00:00 connection=capture-3 sequence=6 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":6,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9461283+00:00 connection=capture-1 sequence=6 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":6,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9398758+00:00 connection=capture-4 sequence=5 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":5,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9416106+00:00 connection=capture-2 sequence=6 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":6,"Reason":"Document:Put"}}
2026-08-09T10:39:56.9529431+00:00 connection=capture-4 sequence=6 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":6,"Reason":"Document:Put"}}
2026-08-09T10:40:00.0939977+00:00 connection=capture-2 sequence=7 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":7,"Reason":"Document:Put"}}
2026-08-09T10:40:00.0968134+00:00 connection=capture-4 sequence=7 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":7,"Reason":"Document:Put"}}
2026-08-09T10:40:00.1117731+00:00 connection=capture-3 sequence=7 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":7,"Reason":"Document:Put"}}
2026-08-09T10:40:00.1134574+00:00 connection=capture-2 sequence=8 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":8,"Reason":"Document:Put"}}
2026-08-09T10:40:00.1160738+00:00 connection=capture-1 sequence=7 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":7}}
2026-08-09T10:40:00.1195621+00:00 connection=capture-3 sequence=8 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":8}}
2026-08-09T10:40:00.1221540+00:00 connection=capture-4 sequence=8 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":8,"Reason":"Document:Put"}}
2026-08-09T10:40:00.1249651+00:00 connection=capture-1 sequence=8 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":8,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2334949+00:00 connection=capture-4 sequence=9 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":9,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2423000+00:00 connection=capture-4 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2459560+00:00 connection=capture-1 sequence=9 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":9,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2524042+00:00 connection=capture-2 sequence=9 fields=Generation contract=ignored payload={"Type":"CacheInvalidation","Value":{"Generation":9}}
2026-08-09T10:40:03.2567459+00:00 connection=capture-3 sequence=9 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":9,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2756287+00:00 connection=capture-2 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2815837+00:00 connection=capture-3 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2866692+00:00 connection=capture-4 sequence=11 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put"}}
2026-08-09T10:40:03.2837004+00:00 connection=capture-1 sequence=10 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":10,"Reason":"Document:Put"}}
2026-08-09T10:40:03.3004126+00:00 connection=capture-1 sequence=11 fields=Generation|Reason contract=accepted payload={"Type":"CacheInvalidation","Value":{"Generation":11,"Reason":"Document:Put"}}
